data_id	Project Title	Start Year	End Year	ISO3 Code	Region	Country	Client/ Donor	M&E	Public Financial Management and Fiscal Sustainability	Brief Description	Point of contact	Email	Phone	Is Current Project? (true/false)	Practice Area	projects_slug	Prime	Contract Value USD	Contract Number	Sub	Education, Gender, and Youth Development	Knowledge Management and Data Analytics	Link	Security, Transparency, and Governance	Document Title	Energy and Environment	Subcontract Number/Order Number/Grant Number	Link to the document file
54	Support for Ugandan Primary Education Reform (SUPER): A Formative Evaluation	1995	1995	UGA	Africa	Uganda	USAID	x		DevTech evaluation team highlights its findings based on the formative evaluation - of the Support for Ugandan Primary Education Reform (SUPER), conducted in the spring of 1995. The report includes the team's most important concerns and conclusions, the progress SUPER has made in achieving its purposes and end-of-project status and recommendations.				No	Monitoring and Evaluation~Education, Gender and Youth	Support-for-Ugandan-Primary-Ed	x		HNE-5832-I-03-3069-00		x		http://pdf.usaid.gov/pdf_docs/PDABP618.pdf		Support for Ugandan Primary Education Reform: a Formative Evaluation			
55	South African Basic Education Reconstruction (SABER) Project	1995	1995	ZAF	Africa	South Africa	USAID	x		Evaluation of the South African Basic Education Reconstruction (SABER) Project.				No	Monitoring and Evaluation~Education, Gender and Youth	South-African-Basic-Education	x	92477.00	HNE-5832-I-04-3069-00		x							
56	Mid-Term Evaluation of the Support to Tertiary Education Project	1995	1995	ZAF	Africa	South Africa	USAID	x		Conducted the Mid-Term Evaluation				No	Monitoring and Evaluation~Education, Gender and Youth	Mid-Term-Evaluation-of-the-Sup	x	122946.00	HNE-5832-I-05-3069-00		x							
57	Tertiary Education Linkages Project (TELP)	1995	2000	ZAF	Africa	South Africa	USAID		X	The Tertiary Education Linkages Project (TELP) provided assistance to the South African National Department of Education and the historically disadvantaged institutions (HDIs) in South Africa to promote equity through increased access to and enhanced quality of education. DevTech provided USAID/SA with technical support to assist in the management of policy analysis and planning, capacity building, and linkages with South Africa's historically disadvantaged majority universities and technikons. DevTech staff were responsible for:Providing organizational and material support to HDIs and technikons in conducting workshops, training courses, and other implementation activities;Recruiting, placing, and supervising South African and/or U.S. consultants to assist USAID/SA in the implementation of the project;Conducting workshops on the preparation of applications for TELP assistance;Convening the Application Review Panels and the Policy Consultative Forum; andEnsuring dissemination of project information to participating organizations throughout the tertiary education sector in South Africa.DevTech also supported HDIs' institutional capacity building efforts by providing financial management training.	Jaroslaw Kryschtal	rusric@erols.com	(27-12) 323-8869	No	Education, Gender and Youth	Tertiary-Education-Linkages-Pr	IRG and ICF International	3724373.00	674-0315-C-00-5143-00	x	x		https://dec.usaid.gov/dec/content/Detail.aspx?q=KERvY3VtZW50cy5JbnN0aXR1dGlvbl9vcl9VU0FJRF9CdXJlYXVfQXV0aG9yOigoIjAwNTkzMSAtIERldmVsb3BtZW50IFRlY2hub2xvZ2llcywgSW5jLiAoRGV2VGVjaCkiKSBPUiAoIjAwOTA1NCAtIERldlRlY2ggU3lzdGVtcywgSW5jLiIpKSk=&ctID=ODVhZjk4NWQtM2YyMi00YjRmLTkxNjktZTcxMjM2NDBmY2Uy&rID=MjU2MjA2&qcf=ODVhZjk4NWQtM2YyMi00YjRmLTkxNjktZTcxMjM2NDBmY2Uy&ph=VHJ1ZQ==&bckToL=VHJ1ZQ==&		Project TELP (Tertiary Education Linkages Project) Completition report			
58	Mid-term Evaluation of the USAID NARP II (National Agricultural Research Project)	1995	1995	KEN	Africa	Kenya	USAID	x	x	DevTech carried out an evaluation of attention to gender issues in the design and implementation of the National Agricultural Research Project I1 involves two approaches: an appraisal of attention to gender concerns in the organizational and personnel structure and functions of KARI as an institution; and the incorporation of gender issues in the socio-economic applied research activities designed to increase the effective dissemination of new agricultural  technologies to the farming population. Of these two dimensions of gender issues, the second was treated in more depth.				No	Monitoring and Evaluation~Public Financial Management and Fiscal Sustainability	Mid-term-Evaluation-of-the-USA	x		930-0100-C-00-3052-00				https://dec.usaid.gov/dec/content/Detail.aspx?q=KERvY3VtZW50cy5JbnN0aXR1dGlvbl9vcl9VU0FJRF9CdXJlYXVfQXV0aG9yOigoIjAwNTkzMSAtIERldmVsb3BtZW50IFRlY2hub2xvZ2llcywgSW5jLiAoRGV2VGVjaCkiKSBPUiAoIjAwOTA1NCAtIERldlRlY2ggU3lzdGVtcywgSW5jLiIpKSk=&ctID=ODVhZjk4NWQtM2YyMi00YjRmLTkxNjktZTcxMjM2NDBmY2Uy&rID=MjQxOTg1&qcf=ODVhZjk4NWQtM2YyMi00YjRmLTkxNjktZTcxMjM2NDBmY2Uy&ph=VHJ1ZQ==&bckToL=VHJ1ZQ==&		Gender issues and socio-economic research in KARI [Kenya Agricultural Research Institute] : mid-term evaluation of the USAID NARP [national agricultural research			
59	Component of the Project on Competition, Laws, and Regulations	1995	1995		Europe and Eurasia		FTC/DOJ	x		The U.S. Department of Justice (DOJ) and the Federal Trade Commission (FTC) have provided joint technical assistance to countries in Central and Eastern Europe in the areas of antitrust and consumer protection with the overarching goal of assisting in the transition to and strengthening of free-market economies. DevTech was contracted to analyze the impact of the FTC/DOJ program on the development and refinement of antitrust and consumer protection legislation and the level and quality of guidance provided to local antitrust and consumer protection institutions.The project involved extensive and intensive data collection through on-site interviews, observations, document analysis, and reviews of existing records and files in Washington, D.C., Lithuania, Poland, Slovakia, and Hungary.DevTech completed the data collection process and interviewed Washington-based FTC, DOJ, and USAID staff before fielding a three-person team to gather data and conduct structured interviews with antimonopoly staff, judges, attorneys, and representatives of consumer organizations in the four cooperating countries. USAID in-country staff, contractor staff of related projects, and other donor agency staff were also interviewed. The team then conducted follow-up interviews with Washington-based staff. The final report contained specific recommendations for the transfer of major components of FTC/DOJ technical assistance to other programs.				No	Monitoring and Evaluation~Security, Transparency, and Governance	Component-of-the-Project-on-Co				x				x				
60	Evaluation & Performance Measurement System	1995	1995	HUN	Europe and Eurasia	Hungary	U.S. Department of the Treasury	x		DevTech designed a system to evaluate and measure the performance of technical assistance programs within Central and Eastern Europe (CEE) countries and the Newly Independent States (NIS) served by the Budget Policy and Management Group of the Department of the Treasury, Office of Technical Assistance (IET). IET provides direct technical assistance to ministries of finance to help CEE and NIS countries move from command to market economies.	Victor Miller	check.claims@fms.treas.gov	(202) 622-0102, fax 622-5879	No	Monitoring and Evaluation	Evaluation-and-Performance-Measu	x	88996.00	TOS-95-81									
61	Design of an Evaluation and Performance Measurement System	1995	1995		Global	Global	U.S. Department of the Treasury	x	x	DevTech responded to a request from the Budget Policy and Management Group of the Department of Treasury, Office of Technical Assistance (IET) to design and implement a system to evaluate and measure the performance of individuals and projects, and the overall progress of the program.	Rosa Perry		202-622-0797	No	Monitoring and Evaluation~Public Financial Management and Fiscal Sustainability	Design-of-an-Evaluation-and-Pe	x	88996.00	TOS-95-81									
62	Economic and Social Data Services (ESDS)	1995	2001		Global	Global	USAID	x		The USAID Center for Development Information and Evaluation (CDIE) Economic and Social Data Service project provided a wide range of analytic and technical support services to maintain the Economic and Social Data Base (ESDB) and to sustain ESDS and its corollary work with USAID central and regional Bureaus, and field Missions.DevTech ESDS economists utilized the latest computer software applications and statistical research techniques to access, exchange, and manipulate large international databases.ESDS analysts provided demand-driven, analytical services (quantitative research, methodology development, econometric modeling, macroeconomic policy analysis, special socioeconomic studies, and performance monitoring and evaluation efforts) to USAID regional Bureaus.Further, the ESDS staff provided economic and social data measures and inputs that track country development trends; provided technical support for special Mission projects and initiatives; and served as the Agency focal point for coordinating and harmonizing socioeconomic data from a wide range of sources.	Lee White	lwhite@usaid.gov	(202) 712-4696	No	Monitoring and Evaluation~Knowledge Management and Data Analytics	Economic-and-Social-Data-Servi	x	1,849,896.00 3,094,135.00	AEP-0001-C-00-5033-00AEP-0232-C-00-3010-00			x	https://dec.usaid.gov/dec/content/Detail.aspx?q=KERvY3VtZW50cy5JbnN0aXR1dGlvbl9vcl9VU0FJRF9CdXJlYXVfQXV0aG9yOigoIjAwNTkzMSAtIERldmVsb3BtZW50IFRlY2hub2xvZ2llcywgSW5jLiAoRGV2VGVjaCkiKSBPUiAoIjAwOTA1NCAtIERldlRlY2ggU3lzdGVtcywgSW5jLiIpKSk=&ctID=ODVhZjk4NWQtM2YyMi00YjRmLTkxNjktZTcxMjM2NDBmY2Uy&rID=MjYxNTc3&qcf=ODVhZjk4NWQtM2YyMi00YjRmLTkxNjktZTcxMjM2NDBmY2Uy&ph=VHJ1ZQ==&bckToL=VHJ1ZQ==&		Economic and Social data Service Annual Performance Report (Oct 1999-Sept 2000)			
63	PVO Co-Financing Evaluation	1995	1995	NIC	Latin America and the Caribbean	Nicaragua	USAID	x		USAID's Private Voluntary Organizations Cofinancing Project in Nicaragua was designed to increase adoption of preventive health and family practices, expand employment opportunities for low-income families, and promote sustainable natural resource management among farmers. DevTech evaluators met with USAID, PVO, and project management unit officials; interviewed a sample of target beneficiaries; reviewed technical assistance interventions; assessed the effects of project implementation; examined priorities and needs of participating PVOs; and recommended ways in which project goals could be realized.	Frank Valva	fvalva@usaid.gov	(505-2) 67-0502	No	Monitoring and Evaluation	PVO-Co-Financing-Evaluation	x	37920.00	524-0313-C-00-5058-00				https://dec.usaid.gov/dec/content/Detail.aspx?q=KERvY3VtZW50cy5JbnN0aXR1dGlvbl9vcl9VU0FJRF9CdXJlYXVfQXV0aG9yOigoIjAwNTkzMSAtIERldmVsb3BtZW50IFRlY2hub2xvZ2llcywgSW5jLiAoRGV2VGVjaCkiKSBPUiAoIjAwOTA1NCAtIERldlRlY2ggU3lzdGVtcywgSW5jLiIpKSk=&ctID=ODVhZjk4NWQtM2YyMi00YjRmLTkxNjktZTcxMjM2NDBmY2Uy&rID=MjQxODA1&qcf=ODVhZjk4NWQtM2YyMi00YjRmLTkxNjktZTcxMjM2NDBmY2Uy&ph=VHJ1ZQ==&bckToL=VHJ1ZQ==&		Final report: Mid-term evaluation of the PVO co-financing project USAID/Nicaragua			
64	Basic Education Project Evaluation: Honduras	1995	1996	HON	Latin America and the Caribbean	Honduras	USAID	x		EVALUATED THE DEGREE TO WHICH THE BASIC EDUCATION PROJECT ACTIVITIES ARE CONTRIBUTING TO PRIMARY EDUCATION				No	Monitoring and Evaluation~Education, Gender and Youth	Basic-Education-Project-Evalua	x	87846.00	HNE-5832-I-07-3069-00		x							
65	U.S.-Egyptian Partnership for Economic Growth and Development: Human Resource Development Project	1996	1997	EGY	Africa	Egypt	USAID			DevTech provided services to plan and implement intellectual exchanges between private industry and private/public education	Sally Patton	spatton@usaid.gov	(20-2) 5126-5505	No	Education, Gender and Youth	U.S.-Egyptian-Partnership-for	x	879973.00	263-0255-C-00-6078-00		x							
66	Technical Assistance to USAID/Cairo and the Egyptian Ministry of Education	1996	1996	EGY	Africa	Egypt	USAID	x		PROVIDED TECHNICAL ASSISTANCE TO USAID/CAIRO AND THE EGYPTIAN MINISTRY OF EDUCATION				No	Monitoring and Evaluation~Education, Gender and Youth	Technical-Assistance-to-USAID	x	109978.00	HNE-5832-I-08-3069-00		x							
67	Development of Investment Vehicles in Russia	1996	1997	RUS	Europe and Eurasia	Russia	USAID		x					No	Public Financial Management and Fiscal Sustainability~Security, Transparency, and Governance	Development-of-Investment-Vehi	x	1860000.00	AEP-0005-I-01-5034-00					x				
68	Global Technology Network	1996	2000		Global		USAID		x	The Global Technology Network (GTN) contract expanded on DevTech's experience in developing and managing the environmental technology network for USAID/US-AEP. The primary objective of the GTN was to identify, disseminate information about, and match overseas business opportunities for, U.S. businesses interested in emerging markets. The GTN assisted lesser-developed countries (LDCs) countries graduating from USAID development assistance, and U.S. small and medium-size businesses to effectively respond to economic policy reforms and ensure sustainable economic growth through trade. DevTech's GTN staff provided assistance to companies operating in such industries as health, agri-business, financial services, telecommunications, and information technology.	Joe Duncan	jduncan@usaid.gov	(202) 712-0474	No	Energy and Environment~Public Financial Management and Fiscal Sustainability	Global-Technology-Network	x	3498238.00	PCE-C-00-97-00002-00				https://dec.usaid.gov/dec/content/Detail.aspx?q=KERvY3VtZW50cy5JbnN0aXR1dGlvbl9vcl9VU0FJRF9CdXJlYXVfQXV0aG9yOigoIjAwNTkzMSAtIERldmVsb3BtZW50IFRlY2hub2xvZ2llcywgSW5jLiAoRGV2VGVjaCkiKSBPUiAoIjAwOTA1NCAtIERldlRlY2ggU3lzdGVtcywgSW5jLiIpKSk=&ctID=ODVhZjk4NWQtM2YyMi00YjRmLTkxNjktZTcxMjM2NDBmY2Uy&rID=MjU5MDUx&qcf=ODVhZjk4NWQtM2YyMi00YjRmLTkxNjktZTcxMjM2NDBmY2Uy&ph=VHJ1ZQ==&bckToL=VHJ1ZQ==&		Trade lead submission, matching, and follow-up instructions	x		
69	Mid-Term Evaluation of Basic Education Project (BASE)	1996	1996	NIC	Latin America and the Caribbean	Nicaragua	USAID	x		DevTech performed a mid-term evaluation of the USAID Basic Education Project (BASE). The three-person team evaluated the design, management, and implementation of the project under three major components: institutional strengthening, teacher training, and curriculum and instructional materials design. Among the recommendations made for the second phase of BASE were a move towards more student-oriented curricula and instructional methods and increased community participation in support of ongoing decentralization.CONTRACTOR SHALL EVALUATE THE DEGREE TO WHICH THE BASIC EDUCATION PROJECT ACTIVITIES ARE CONTRIBUTING TO PRIMARY EDUCATION.  CONTRACTOR SHALL PROVIDE TECHNICAL ASSISTANCE TO USAID/CAIRO AND THE EGYPTIAN MINISTRY OF EDUCATION				No	Monitoring and Evaluation~Education, Gender and Youth	Mid-Term-Evaluation-of-Basic-E	x		HNE-5832-I-06-3069-00		x		https://dec.usaid.gov/dec/content/Detail.aspx?q=KERvY3VtZW50cy5JbnN0aXR1dGlvbl9vcl9VU0FJRF9CdXJlYXVfQXV0aG9yOigoIjAwNTkzMSAtIERldmVsb3BtZW50IFRlY2hub2xvZ2llcywgSW5jLiAoRGV2VGVjaCkiKSBPUiAoIjAwOTA1NCAtIERldlRlY2ggU3lzdGVtcywgSW5jLiIpKSk=&ctID=ODVhZjk4NWQtM2YyMi00YjRmLTkxNjktZTcxMjM2NDBmY2Uy&rID=MjQ0NDE3&qcf=ODVhZjk4NWQtM2YyMi00YjRmLTkxNjktZTcxMjM2NDBmY2Uy&ph=VHJ1ZQ==&bckToL=VHJ1ZQ==&		Final report: findings, conclusions, reccommendations--mid-term of Nicaragua basic education project			
70	RUTA Social	1996	1996	BEL	Latin America and the Caribbean	Belize, Costa Rica, El Salvador, Guatemala, Honduras, Nicaragua, and Panama	World Bank	x		RUTA Social is a technical assistance program for the design and execution of social sector projects in the Latin America and the Caribbean countries. The project was started in the second half of 1993 to assist the governments of the region in finding effective ways to address chronic social sector problems. Participants included the governments of Belize, Costa Rica, El Salvador, Guatemala, Honduras, Nicaragua, and Panama. The general objective of the DevTech-led evaluation mission was to assess the relevance of RUTA Social as a strategy for assisting these governments to achieve a higher efficiency in the funding and delivery of social services as well as in targeting resources for poverty alleviation. The evaluation mission produced a report (in Spanish) highlighting the successes and shortcomings of RUTA Social and offering recommendations for restructuring the program to better fulfill its stated objectives.	Hubert Sinclair	speakersbureau@worldbank.org	(202) 477-1234	No	Monitoring and Evaluation~Education, Gender and Youth	RUTA-Social	x	11000.00	A13960		x							
71	Antimonopoly Committee of Ukraine/ Antitrust/Consumer Protection in the Newly Independent States	1997	1998	UKR	Europe and Eurasia	Ukraine	FTC			This task order contract provided support to the Federal Trade Commission in the areas of antitrust and consumer protection. The first task order involved providing technical assistance to the Antimonopoly Committee of Ukraine. In support of this effort, DevTech provided logistical and administrative assistance to U.S. government staff in Ukraine. DevTech established an office in Kiev to ensure that all requests for assistance were met satisfactorily.	Mary Anne Radebach	antitrust@ftc.gov	(202) 326-2679	No	Security, Transparency, and Governance	Antimonopoly-Committee-of-Ukra	x	357666.00	2900-00-97-Z-001					x				
72	Romanian Competition Office and Competition Council	1997	1998	ROU	Europe and Eurasia	Romania	USAID, DOJ, FTC	x		Under an Inter-Agency Agreement with USAID, the U.S. Department of Justice and the Federal Trade Commission provide technical assistance to the Romanian Competition Office and Competition Council. In support of this effort, DevTech provided logistical and administrative assistance to U.S. government staff in Romania. This assistance included arranging housing for semi-permanent and visiting officials; providing interpreting and translating services; arranging for international and domestic travel and accommodations; and providing other assistance as required. DevTech established an office in Bucharest to ensure that all requests for assistance were met satisfactorily.	Katherine Nelson	AskDOJ@usdoj.gov	(202) 305-1841	No	Monitoring and Evaluation	Romanian-Competition-Office-an	x	70000.00	DOJ-ATR-7-0004									
73	Girls' and Women's Education	1997	2003	GHA, GTM, MAR, PER	Global	Ghana, Guatemala, Peru, Morocco	USAID			DevTech provided technical and administrative support services to the USAID Bureau of Economic Growth, Agriculture, and Trade, Office of Women in Development (EGAT/WID) in support of Girls' and Women's Education (GWE) Activity Objectives. DevTech assisted EGAT/WID in monitoring the Girls' and Women's Education Initiative; developing effective communications among relevant stakeholders; and documenting programs and products developed concerning the initiative. To accomplish these goals, DevTech:Planned, coordinated, and participated in meetings, workshops, and related events;Provided technical and administrative assistance to Missions (Ghana, Guatemala, Peru, and Morocco), including participating in the assessment, design, and evaluation of current and proposed GWE programs;Wrote or assisted with the development of reports, studies, and concept papers; andDeveloped and maintained reference materials on the GWE initiative.Throughout the length of this contract, DevTech conducted gender training focused on strategic planning, performance measurement, data collection and analysis tools, and monitoring and evaluation. DevTech responded to more than 100 USAID mission requests for technical assistance covering all sectors including education evaluation, gender analysis, gender integration, training, and dissemination. More than thirty gender assessments and gender integration activities were performed in four regions including Africa, Eastern Europe, Middle East, and Latin America and The Caribbean.	Susie Clay	sclay@usaid.gov	(202) 712-0954	No	Education, Gender and Youth	Girls'-and-Women's-Education	x	1513179.00	LAG-C-00-97-00017-00		x		https://dec.usaid.gov/dec/content/Detail.aspx?q=KERvY3VtZW50cy5JbnN0aXR1dGlvbl9vcl9VU0FJRF9CdXJlYXVfQXV0aG9yOigoIjAwNTkzMSAtIERldmVsb3BtZW50IFRlY2hub2xvZ2llcywgSW5jLiAoRGV2VGVjaCkiKSBPUiAoIjAwOTA1NCAtIERldlRlY2ggU3lzdGVtcywgSW5jLiIpKSk=&ctID=ODVhZjk4NWQtM2YyMi00YjRmLTkxNjktZTcxMjM2NDBmY2Uy&rID=MjcwNDMz&qcf=ODVhZjk4NWQtM2YyMi00YjRmLTkxNjktZTcxMjM2NDBmY2Uy&ph=VHJ1ZQ==&bckToL=VHJ1ZQ==&		Girls' and Women's Project: Quaterly and Final Report			
74	Evaluation of Bolivia's Catholic University's Master's Program	1997	1997	BOL	Latin America and the Caribbean	Bolivia	USAID	x		DevTech performed an institutional evaluation of the ability of the Catholic University of Bolivia to sustain two master's degree programs—one in public policy, one in auditing—after the end of USAID assistance.				No	Monitoring and Evaluation~Education, Gender and Youth	Evaluation-of-Bolivia's-Cathol	x				x							
75	El Salvador Economic Reform and Civil Society	1997	2002	SLV	Latin America and the Caribbean	El Salvador	USAID		x	For five years, DevTech worked closely with USAID to assist the Salvadoran public and private sectors to design, discuss, and analyze economic policy reform proposals in three areas:Decentralization and Local Governance;Public Financial Management; andTrade and Competitiveness.Work orders were issued under the contract to perform economic studies, prepare and/or arrange for the preparation of seminars on economic topics, conduct in-country training, and provide related technical assistance to private- and public-sector entities.DevTech completed 31 work orders and prepared several significant technical publications, highlighted below.Decentralization and Local GovernanceFiscal Reform: Reviewed the overall public finances of El Salvador, including several issues related to financing municipal transfers. DevTech assistance focused on how the transfer system (FODES – Fondo de Desarrollo Económico Social) addressed horizontal inequality, its impact on local revenue effort, and the slow implementation/usage rate by local governments. Recommendations were made to improve the incentive aspects to encourage local revenue effort and to improve the programming of transfers to better meet implementation cycles. This included not only analytical work and setting an agenda for reform, but also making several presentations, including to the Budget and Municipal Affairs Committees of the Legislative Assembly. DevTech's presentation was aired on television and radio and appeared on the front page of the country’s main newspaper.Municipal Tax Reform: Provided technical assistance and advisory services to the Municipal Affairs Committee of the Legislative Assembly and worked closely with the Mayors’ organization, COMURES, in conducting a dialogue with the private sector. Sub-tasks included: preparing a guideline to facilitate the Legislative Assembly’s review and qualification of municipal tax proposed legislation; developing analytical techniques for assessing the impact of local tax law changes on industry and municipal revenues, and its application; development of model legislation; developing a proposed agenda for municipal finance system reform; advising the new Government’s transition team on municipal finance system reform; and assisting the Legislative Assembly in the development of property tax and other municipal tax legislation.Municipal Finance. Assisted the municipalities of San Salvador and Sonsonate in the analysis of options for private sector participation in municipal infrastructure investment. This included economic, financial, and regulatory aspects of BOO BOT. DevTech also conducted a seminar on private sector participation in municipal infrastructure investment.Municipal Finance (Asset Tax): Assisted the municipal government of San Salvador in the proposal and defense of an important reform of its asset tax. This included developing alternative scenarios and revenue projections, reclassifying municipal finance data in the IMF Government Finance Statistics format, participating in discussions with the private sector on the need for the reform, and supporting the municipal government in defending its position.Municipal Finance. Assisted the municipalities of San Salvador with analytical and legal issues related to the first bond issuance.Public Financial ManagementExamined El Salvador’s public-sector budget and made recommendations regarding taxation, spending, subsidies, and transparency. This public sector review was presented in a seminar to the Budget Committee of the Legislative Assembly.Established the Office of Budget Analysis and Oversight in the Legislative Assembly and trained the staff.Provided advisory assistance to the Ministry of Hacienda on tax administration. Reported on use of computerized data systems, tax administration, tax personnel, tax code, and other non-policy aspects of the tax system.Trade and CompetitivenessTrade Capacity Building. Strengthened the institutional capacity of the Ministry of Economy Office of Export Market Promotion to assist local El Salvador clients in expanding their sales into international markets. Technical advisory assistance included: a) assessments of how units of the Ministry could be better organized and coordinated in support of the national competitive program; b) skills development in conducting research to collect international country, market and product intelligence; and c) team building to enhance the effectiveness of staff working in the three Ministry offices implementing the program. Competition (Micro, small and medium sized enterprises). In the aftermath of the earthquakes of early 2001, a DevTech team conducted an assessment of how to reactivate the economy, including examining the expansion of credit for housing, enterprises, and other financing instruments; evaluating priority actions to stimulate the growth of enterprises, particularly micro, small, and medium sized enterprises using non-credit instruments, with particular emphasis on the use of private business associations, business development organizations, NGOs, and other intermediaries that can work with enterprises on a fee for service basis; and other possible policy interventions. Assisted the Mission’s efforts to clarify performance indicators in education, micro-finance, and policy. DevTech also helped the Mission refine its system for measuring and monitoring rural policy. Supported the USAID Mission in El Salvador in crafting an updated agriculture and rural development assistance strategy for the country.	Jorge Pena	mott@usaid.gov	(503) 2-98-1666, fax 2-98-0885	No	Public Financial Management and Fiscal Sustainability~Security, Transparency, and Governance	El-Salvador-Economic-Reform-an	x	3000000.00	519-C-00-97-00153-00				https://dec.usaid.gov/dec/content/Detail.aspx?q=KERvY3VtZW50cy5JbnN0aXR1dGlvbl9vcl9VU0FJRF9CdXJlYXVfQXV0aG9yOigoIjAwOTA1NCAtIERldlRlY2ggU3lzdGVtcywgSW5jLiIpIE9SICgiMDA1OTMxIC0gRGV2ZWxvcG1lbnQgVGVjaG5vbG9naWVzLCBJbmMuIChEZXZUZWNoKSIpKSk=&ctID=ODVhZjk4NWQtM2YyMi00YjRmLTkxNjktZTcxMjM2NDBmY2Uy&rID=MjQ5NjY1&qcf=ODVhZjk4NWQtM2YyMi00YjRmLTkxNjktZTcxMjM2NDBmY2Uy&ph=VHJ1ZQ==&bckToL=VHJ1ZQ==&	x	Central bank reform and banking regulation in El Salvador : a New Zealand perspective			
76	Egypt Trade Development Center's ExpoLink	1998	1999	EGY	Africa	Egypt	USAID	x		Under a subcontract to Directions Data, Inc., DevTech worked with the Egyptian Exporters Association/Trade Development Center's exporting arm to expand and enhance Egyptian exports and to provide market information. DevTech recruited and placed industry experts to assist Egyptian exporters of processed foods, furniture, apparel, leather goods, and software to penetrate the European and Middle Eastern markets.	Cecile Coronato	cairomedia@usaid.gov	20 2 2522-7000	No	Monitoring and Evaluation	Egypt-Trade-Development-Center	DDI	2700000.00	263-C-00-98-0004-00	x								
77	Assistance to Environmental Management in Enterprises in the NIS	1998	2001		Europe and Eurasia		USAID			Input to the EAP Task Force Progress Report for the Environment for Europe Ministerial Conference				No	Energy and Environment	Assistance-to-Environmental-Ma	x		EE-A-00-98-00020-00				https://dec.usaid.gov/dec/content/Detail.aspx?q=KERvY3VtZW50cy5JbnN0aXR1dGlvbl9vcl9VU0FJRF9CdXJlYXVfQXV0aG9yOigoIjAwNTkzMSAtIERldmVsb3BtZW50IFRlY2hub2xvZ2llcywgSW5jLiAoRGV2VGVjaCkiKSBPUiAoIjAwOTA1NCAtIERldlRlY2ggU3lzdGVtcywgSW5jLiIpKSk=&ctID=ODVhZjk4NWQtM2YyMi00YjRmLTkxNjktZTcxMjM2NDBmY2Uy&rID=MjY5OTI2&qcf=ODVhZjk4NWQtM2YyMi00YjRmLTkxNjktZTcxMjM2NDBmY2Uy&ph=VHJ1ZQ==&bckToL=VHJ1ZQ==&		Assistance to environmental management in enterprise in the NIS: USAID activities in the NIS	x		
78	EcoLinks Environmental Partnership Program Management Support	1998	2003	EUR	Europe and Eurasia		USAID	x		DevTech provided project management services to the USAID EcoLinks Trade and Investment program in USAID's Bureau for Economic Growth, Agriculture, and Trade for five years (1998–2003). The Program facilitated the transfer of environmental technologies and services to businesses, municipalities, and associations in Eastern Europe and Eurasia.As the prime contractor during the first stage of the project, DevTech developed a performance monitoring system for the Trade and Investment Program that tracks positive environmental impacts achieved by EcoLinks projects, highlights capacity-building initiatives, and identifies new investments in the environmental sector leveraged by EcoLinks.DevTech provided technical assistance to EcoLinks partners and technology representatives to improve the development of environmental projects, and helped project sponsors to secure project financing. DevTech staff also represented EcoLinks at environmental trade shows and financing workshops in the United States and abroad, and coordinated EcoLinks conference participation.				No	Monitoring and Evaluation~Energy and Environment	EcoLinks-Environmental-Partner	x		EE-C-00-98-00001-00				https://dec.usaid.gov/dec/content/Detail.aspx?q=KERvY3VtZW50cy5JbnN0aXR1dGlvbl9vcl9VU0FJRF9CdXJlYXVfQXV0aG9yOigoIjAwNTkzMSAtIERldmVsb3BtZW50IFRlY2hub2xvZ2llcywgSW5jLiAoRGV2VGVjaCkiKSBPUiAoIjAwOTA1NCAtIERldlRlY2ggU3lzdGVtcywgSW5jLiIpKSk=&ctID=ODVhZjk4NWQtM2YyMi00YjRmLTkxNjktZTcxMjM2NDBmY2Uy&rID=MjcxODE3&qcf=ODVhZjk4NWQtM2YyMi00YjRmLTkxNjktZTcxMjM2NDBmY2Uy&ph=VHJ1ZQ==&bckToL=VHJ1ZQ==&		Final report on the ECOLINKS program conference: held in Dubronvik, Croatia	x		
79	Women in Development: Strategic and Technical Support (WIDStrat)	1998	2000		Global		USAID			DevTech provided technical support to the Office of Women in Development to incorporate gender considerations in USAID's field and Bureau activities, guidance and policies, and training.	Cate Johnson	cate@usaid.gov	(202) 712-1524	No	Education, Gender and Youth~Knowledge Management and Data Analytics	Women-in-Development:-Strategi	x	3880653.00	LAG-98-C-00-0029-00		x	x						
80	Argentine Competition Office	1998	1998	ARG	Latin America and the Caribbean	Argentina	Federal Trade Commission	x		DevTech provided logistical and administrative assistance to U.S. government staff in Argentina in support of the Federal Trade Commission's (FTC's) work with the Argentine Competition Office. This assistance included arranging housing for semi-permanent and visiting officials; providing interpreting and translating services; arranging for international and domestic travel and accommodations; and providing other assistance as required. DevTech established an office in Buenos Aires to ensure that all requests for assistance are met satisfactorily.	Mary Ann Redenbach	antitrust@ftc.gov	(202) 326-2679	No	Monitoring and Evaluation	Argentine-Competition-Office	x	58165.00	98-L-0024									
81	Modernization of the State Program	1998	1999		Latin America and the Caribbean		Inter-American Development Bank	x		DevTech was contracted to evaluate the progress of modernization of the state programs being carried out with Inter-American Development Bank (IDB) funds. The IDB program supports reform efforts within the executive, judicial, and legislative branchesof government, as well as systems to strengthen civil society.	Arne Paulson	eads@usaid.gov	202-623-1252	No	Monitoring and Evaluation~Security, Transparency, and Governance	Modernization-of-the-State-Pro	x	60500.00	EMD.8.276.00-F					x				
